t_s,T_center_eta0_C,T_surface_eta0_C,T_center_eta1_C,T_surface_eta1_C,Cmax_eta0,Cmax_eta1
182767.685,49.99893,49.99893,49.92727,49.92762,0.157924,0.158379
183629.797,49.99893,49.99893,49.92795,49.92830,0.157606,0.158041
184491.908,49.99893,49.99893,49.92861,49.92896,0.157291,0.157706
185354.020,49.99893,49.99893,49.92927,49.92961,0.156979,0.157374
186216.132,49.99893,49.99893,49.92992,49.93025,0.156670,0.157046
187078.243,49.99893,49.99893,49.93055,49.93088,0.156363,0.156720
187940.355,49.99893,49.99893,49.93118,49.93151,0.156060,0.156398
188802.467,49.99893,49.99893,49.93180,49.93212,0.155759,0.156079
189664.579,49.99893,49.99893,49.93241,49.93272,0.155460,0.155762
190526.690,49.99893,49.99893,49.93301,49.93332,0.155165,0.155449
191388.802,49.99893,49.99893,49.93360,49.93390,0.154871,0.155138
192250.914,49.99893,49.99893,49.93418,49.93448,0.154581,0.154831
193113.025,49.99893,49.99893,49.93475,49.93505,0.154293,0.154526
193975.137,49.99893,49.99893,49.93532,49.93561,0.154007,0.154224
194837.249,49.99893,49.99893,49.93588,49.93616,0.153724,0.153925
195699.361,49.99893,49.99893,49.93643,49.93671,0.153443,0.153628
196561.472,49.99893,49.99893,49.93697,49.93725,0.153165,0.153334
197423.584,49.99893,49.99893,49.93750,49.93778,0.152889,0.153043
198285.696,49.99893,49.99893,49.93803,49.93830,0.152616,0.152754
199147.808,49.99893,49.99893,49.93854,49.93881,0.152344,0.152468
200009.919,49.99893,49.99893,49.93905,49.93932,0.152075,0.152184
200872.031,49.99893,49.99893,49.93956,49.93982,0.151808,0.151903
201734.143,49.99893,49.99893,49.94006,49.94031,0.151544,0.151624
202596.254,49.99893,49.99893,49.94055,49.94080,0.151281,0.151348
203458.366,49.99893,49.99893,49.94103,49.94128,0.151021,0.151073
204320.478,49.99893,49.99893,49.94151,49.94175,0.150762,0.150802
205182.590,49.99893,49.99893,49.94198,49.94222,0.150506,0.150532
206044.701,49.99893,49.99893,49.94244,49.94268,0.150252,0.150265
206906.813,49.99893,49.99893,49.94290,49.94313,0.150000,0.150000
