t_s,T_air_C,C_env
2.000000000000000000e+02,2.980166666666667652e+01,2.117000000000000132e-02
2.050000000000000000e+02,2.983108333333336759e+01,2.121250000000000219e-02
2.100000000000000000e+02,2.986050000000000182e+01,2.125500000000000306e-02
2.150000000000000000e+02,2.988991666666663605e+01,2.129750000000000046e-02
2.200000000000000000e+02,2.991933333333332712e+01,2.134000000000000133e-02
2.250000000000000000e+02,2.994875000000001819e+01,2.138250000000000220e-02
2.300000000000000000e+02,2.997816666666665242e+01,2.142499999999999960e-02
2.350000000000000000e+02,3.000758333333328665e+01,2.146750000000000047e-02
2.400000000000000000e+02,3.003699999999997772e+01,2.151000000000000134e-02
2.450000000000000000e+02,3.010341666666664651e+01,2.154333333333333447e-02
2.500000000000000000e+02,3.016983333333331530e+01,2.157666666666666760e-02
2.550000000000000000e+02,3.023624999999998408e+01,2.161000000000000074e-02
2.600000000000000000e+02,3.030266666666665287e+01,2.164333333333333387e-02
2.650000000000000000e+02,3.036908333333332166e+01,2.167666666666666700e-02
2.700000000000000000e+02,3.043549999999999045e+01,2.171000000000000013e-02
2.750000000000000000e+02,3.050191666666665924e+01,2.174333333333333326e-02
2.800000000000000000e+02,3.056833333333332803e+01,2.177666666666666639e-02
2.850000000000000000e+02,3.063474999999999682e+01,2.180999999999999953e-02
2.900000000000000000e+02,3.070116666666666561e+01,2.184333333333333266e-02
2.950000000000000000e+02,3.076758333333333439e+01,2.187666666666666579e-02
3.000000000000000000e+02,3.083400000000000318e+01,2.190999999999999892e-02
3.050000000000000000e+02,3.087225000000000819e+01,2.194499999999999923e-02
3.100000000000000000e+02,3.091050000000001319e+01,2.197999999999999954e-02
3.150000000000000000e+02,3.094875000000001819e+01,2.201499999999999985e-02
3.200000000000000000e+02,3.098700000000002319e+01,2.205000000000000016e-02
3.250000000000000000e+02,3.102525000000002819e+01,2.208500000000000046e-02
3.300000000000000000e+02,3.106349999999997635e+01,2.212000000000000077e-02
3.350000000000000000e+02,3.110174999999998136e+01,2.215499999999999761e-02
3.400000000000000000e+02,3.113999999999998636e+01,2.218999999999999792e-02
3.450000000000000000e+02,3.117824999999999136e+01,2.222499999999999823e-02
3.500000000000000000e+02,3.121649999999999636e+01,2.225999999999999854e-02
3.550000000000000000e+02,3.125475000000000136e+01,2.229499999999999885e-02
3.600000000000000000e+02,3.129300000000000637e+01,2.232999999999999916e-02
3.650000000000000000e+02,3.133691666666669562e+01,2.236749999999999849e-02
3.700000000000000000e+02,3.138083333333332803e+01,2.240500000000000130e-02
3.750000000000000000e+02,3.142475000000001728e+01,2.244250000000000064e-02
3.800000000000000000e+02,3.146866666666664969e+01,2.247999999999999998e-02
3.850000000000000000e+02,3.151258333333333894e+01,2.251749999999999932e-02
3.900000000000000000e+02,3.155650000000002819e+01,2.255499999999999866e-02
3.950000000000000000e+02,3.160041666666666060e+01,2.259250000000000147e-02
4.000000000000000000e+02,3.164433333333334986e+01,2.263000000000000081e-02
4.050000000000000000e+02,3.168824999999998226e+01,2.266750000000000015e-02
4.100000000000000000e+02,3.173216666666667152e+01,2.270500000000000296e-02
4.150000000000000000e+02,3.177608333333330393e+01,2.274250000000000230e-02
4.200000000000000000e+02,3.181999999999999318e+01,2.278000000000000164e-02
4.250000000000000000e+02,3.184508333333332075e+01,2.281916666666666815e-02
4.300000000000000000e+02,3.187016666666664833e+01,2.285833333333333467e-02
4.350000000000000000e+02,3.189524999999997590e+01,2.289750000000000119e-02
4.400000000000000000e+02,3.192033333333330347e+01,2.293666666666666770e-02
4.450000000000000000e+02,3.194541666666663104e+01,2.297583333333333422e-02
4.500000000000000000e+02,3.197050000000001546e+01,2.301500000000000073e-02
4.550000000000000000e+02,3.199558333333334303e+01,2.305416666666666725e-02
4.600000000000000000e+02,3.202066666666667061e+01,2.309333333333333377e-02
4.650000000000000000e+02,3.204574999999999818e+01,2.313250000000000028e-02
4.700000000000000000e+02,3.207083333333332575e+01,2.317166666666666680e-02
4.750000000000000000e+02,3.209591666666665333e+01,2.321083333333333332e-02
4.800000000000000000e+02,3.212099999999998090e+01,2.324999999999999983e-02
4.850000000000000000e+02,3.217174999999997453e+01,2.329333333333333256e-02
4.900000000000000000e+02,3.222249999999996817e+01,2.333666666666666528e-02
4.950000000000000000e+02,3.227324999999996180e+01,2.337999999999999801e-02
5.000000000000000000e+02,3.232400000000001228e+01,2.342333333333333420e-02
5.050000000000000000e+02,3.237475000000000591e+01,2.346666666666666692e-02
5.100000000000000000e+02,3.242549999999999955e+01,2.350999999999999965e-02
5.150000000000000000e+02,3.247624999999999318e+01,2.355333333333333237e-02
5.200000000000000000e+02,3.252699999999998681e+01,2.359666666666666510e-02
5.250000000000000000e+02,3.257775000000003729e+01,2.364000000000000129e-02
5.300000000000000000e+02,3.262850000000003092e+01,2.368333333333333401e-02
5.350000000000000000e+02,3.267925000000002456e+01,2.372666666666666674e-02
5.400000000000000000e+02,3.273000000000001819e+01,2.376999999999999946e-02
5.450000000000000000e+02,3.276933333333334986e+01,2.381250000000000033e-02
5.500000000000000000e+02,3.280866666666668152e+01,2.385500000000000120e-02
5.550000000000000000e+02,3.284800000000001319e+01,2.389749999999999860e-02
5.600000000000000000e+02,3.288733333333334485e+01,2.393999999999999947e-02
5.650000000000000000e+02,3.292666666666667652e+01,2.398250000000000035e-02
5.700000000000000000e+02,3.296600000000000819e+01,2.402499999999999775e-02
5.750000000000000000e+02,3.300533333333333985e+01,2.406749999999999862e-02
5.800000000000000000e+02,3.304466666666667152e+01,2.410999999999999949e-02
5.850000000000000000e+02,3.308400000000000318e+01,2.415250000000000036e-02
5.900000000000000000e+02,3.312333333333333485e+01,2.419499999999999776e-02
5.950000000000000000e+02,3.316266666666666652e+01,2.423749999999999863e-02
6.000000000000000000e+02,3.320199999999999818e+01,2.427999999999999950e-02
6.050000000000000000e+02,3.325841666666667606e+01,2.431083333333333360e-02
6.100000000000000000e+02,3.331483333333335395e+01,2.434166666666666423e-02
6.150000000000000000e+02,3.337125000000003183e+01,2.437249999999999833e-02
6.200000000000000000e+02,3.342766666666665287e+01,2.440333333333333243e-02
6.250000000000000000e+02,3.348408333333333076e+01,2.443416666666666653e-02
6.300000000000000000e+02,3.354050000000000864e+01,2.446500000000000064e-02
6.350000000000000000e+02,3.359691666666668652e+01,2.449583333333333127e-02
6.400000000000000000e+02,3.365333333333336441e+01,2.452666666666666537e-02
6.450000000000000000e+02,3.370974999999998545e+01,2.455749999999999947e-02
6.500000000000000000e+02,3.376616666666666333e+01,2.458833333333333010e-02
6.550000000000000000e+02,3.382258333333334122e+01,2.461916666666666420e-02
6.600000000000000000e+02,3.387900000000001910e+01,2.464999999999999830e-02
6.650000000000000000e+02,3.391141666666669607e+01,2.468416666666666676e-02
6.700000000000000000e+02,3.394383333333337305e+01,2.471833333333333174e-02
6.750000000000000000e+02,3.397625000000005002e+01,2.475249999999999673e-02
6.800000000000000000e+02,3.400866666666667015e+01,2.478666666666666518e-02
6.850000000000000000e+02,3.404108333333334713e+01,2.482083333333333364e-02
6.900000000000000000e+02,3.407350000000002410e+01,2.485499999999999862e-02
6.950000000000000000e+02,3.410591666666670108e+01,2.488916666666666361e-02
7.000000000000000000e+02,3.413833333333337805e+01,2.492333333333333206e-02
7.050000000000000000e+02,3.417074999999999818e+01,2.495750000000000052e-02
7.100000000000000000e+02,3.420316666666667516e+01,2.499166666666666550e-02
7.150000000000000000e+02,3.423558333333335213e+01,2.502583333333333049e-02
7.200000000000000000e+02,3.426800000000002910e+01,2.505999999999999894e-02
7.250000000000000000e+02,3.431283333333334440e+01,2.509833333333333361e-02
7.300000000000000000e+02,3.435766666666665969e+01,2.513666666666666480e-02
7.350000000000000000e+02,3.440250000000003183e+01,2.517499999999999946e-02
7.400000000000000000e+02,3.444733333333334713e+01,2.521333333333333412e-02
7.450000000000000000e+02,3.449216666666666242e+01,2.525166666666666532e-02
7.500000000000000000e+02,3.453700000000003456e+01,2.528999999999999998e-02
7.550000000000000000e+02,3.458183333333334986e+01,2.532833333333333464e-02
7.600000000000000000e+02,3.462666666666666515e+01,2.536666666666666584e-02
7.650000000000000000e+02,3.467149999999998045e+01,2.540500000000000050e-02
7.700000000000000000e+02,3.471633333333329574e+01,2.544333333333333516e-02
7.750000000000000000e+02,3.476116666666666788e+01,2.548166666666666635e-02
7.800000000000000000e+02,3.480599999999998317e+01,2.552000000000000102e-02
7.850000000000000000e+02,3.483400000000000318e+01,2.557000000000000245e-02
7.900000000000000000e+02,3.486199999999996635e+01,2.562000000000000041e-02
7.950000000000000000e+02,3.488999999999998636e+01,2.567000000000000184e-02
8.000000000000000000e+02,3.491800000000000637e+01,2.571999999999999981e-02
8.050000000000000000e+02,3.494599999999996953e+01,2.577000000000000124e-02
8.100000000000000000e+02,3.497399999999998954e+01,2.582000000000000267e-02
8.150000000000000000e+02,3.500200000000000955e+01,2.587000000000000063e-02
8.200000000000000000e+02,3.502999999999997272e+01,2.592000000000000207e-02
8.250000000000000000e+02,3.505799999999999272e+01,2.597000000000000003e-02
8.300000000000000000e+02,3.508600000000001273e+01,2.602000000000000146e-02
8.350000000000000000e+02,3.511399999999997590e+01,2.606999999999999942e-02
8.400000000000000000e+02,3.514199999999999591e+01,2.612000000000000086e-02
8.450000000000000000e+02,3.517383333333333439e+01,2.615999999999999923e-02
8.500000000000000000e+02,3.520566666666667288e+01,2.620000000000000107e-02
8.550000000000000000e+02,3.523750000000001137e+01,2.623999999999999944e-02
8.600000000000000000e+02,3.526933333333334986e+01,2.628000000000000128e-02
8.650000000000000000e+02,3.530116666666668834e+01,2.631999999999999965e-02
8.700000000000000000e+02,3.533299999999996999e+01,2.635999999999999802e-02
8.750000000000000000e+02,3.536483333333330847e+01,2.639999999999999986e-02
8.800000000000000000e+02,3.539666666666664696e+01,2.643999999999999823e-02
8.850000000000000000e+02,3.542849999999998545e+01,2.648000000000000007e-02
8.900000000000000000e+02,3.546033333333332394e+01,2.651999999999999844e-02
8.950000000000000000e+02,3.549216666666666242e+01,2.656000000000000028e-02
9.000000000000000000e+02,3.552400000000000091e+01,2.659999999999999865e-02
9.050000000000000000e+02,3.557125000000002046e+01,2.662250000000000033e-02
9.100000000000000000e+02,3.561849999999998317e+01,2.664499999999999855e-02
9.150000000000000000e+02,3.566575000000000273e+01,2.666750000000000023e-02
9.200000000000000000e+02,3.571300000000002228e+01,2.668999999999999845e-02
9.250000000000000000e+02,3.576024999999998499e+01,2.671250000000000013e-02
9.300000000000000000e+02,3.580750000000000455e+01,2.673500000000000182e-02
9.350000000000000000e+02,3.585475000000002410e+01,2.675750000000000003e-02
9.400000000000000000e+02,3.590199999999998681e+01,2.678000000000000172e-02
9.450000000000000000e+02,3.594925000000000637e+01,2.680249999999999994e-02
9.500000000000000000e+02,3.599650000000002592e+01,2.682500000000000162e-02
9.550000000000000000e+02,3.604374999999998863e+01,2.684749999999999984e-02
9.600000000000000000e+02,3.609100000000000819e+01,2.687000000000000152e-02
9.650000000000000000e+02,3.611291666666664923e+01,2.690750000000000086e-02
9.700000000000000000e+02,3.613483333333334713e+01,2.694500000000000020e-02
9.750000000000000000e+02,3.615674999999998818e+01,2.698249999999999954e-02
9.800000000000000000e+02,3.617866666666668607e+01,2.702000000000000235e-02
9.850000000000000000e+02,3.620058333333332712e+01,2.705750000000000169e-02
9.900000000000000000e+02,3.622249999999996817e+01,2.709500000000000103e-02
9.950000000000000000e+02,3.624441666666666606e+01,2.713250000000000037e-02
1.000000000000000000e+03,3.626633333333330711e+01,2.716999999999999971e-02
1.005000000000000000e+03,3.628825000000000500e+01,2.720750000000000252e-02
1.010000000000000000e+03,3.631016666666664605e+01,2.724500000000000186e-02
1.015000000000000000e+03,3.633208333333334394e+01,2.728250000000000119e-02
1.020000000000000000e+03,3.635399999999998499e+01,2.732000000000000053e-02
1.025000000000000000e+03,3.641341666666664878e+01,2.737083333333333382e-02
1.030000000000000000e+03,3.647283333333331257e+01,2.742166666666666711e-02
1.035000000000000000e+03,3.653224999999997635e+01,2.747250000000000039e-02
1.040000000000000000e+03,3.659166666666664014e+01,2.752333333333333368e-02
1.045000000000000000e+03,3.665108333333330393e+01,2.757416666666666696e-02
1.050000000000000000e+03,3.671050000000002456e+01,2.762500000000000025e-02
1.055000000000000000e+03,3.676991666666668834e+01,2.767583333333333354e-02
1.060000000000000000e+03,3.682933333333335213e+01,2.772666666666666682e-02
1.065000000000000000e+03,3.688875000000001592e+01,2.777750000000000011e-02
1.070000000000000000e+03,3.694816666666667970e+01,2.782833333333333339e-02
1.075000000000000000e+03,3.700758333333334349e+01,2.787916666666666668e-02
1.080000000000000000e+03,3.706700000000000728e+01,2.792999999999999997e-02
1.085000000000000000e+03,3.709633333333334804e+01,2.795749999999999971e-02
1.090000000000000000e+03,3.712566666666668880e+01,2.798499999999999946e-02
1.095000000000000000e+03,3.715499999999997272e+01,2.801249999999999921e-02
1.100000000000000000e+03,3.718433333333331348e+01,2.803999999999999895e-02
1.105000000000000000e+03,3.721366666666665424e+01,2.806749999999999870e-02
1.110000000000000000e+03,3.724299999999999500e+01,2.809500000000000192e-02
1.115000000000000000e+03,3.727233333333333576e+01,2.812250000000000166e-02
1.120000000000000000e+03,3.730166666666667652e+01,2.815000000000000141e-02
1.125000000000000000e+03,3.733100000000001728e+01,2.817750000000000116e-02
1.130000000000000000e+03,3.736033333333330120e+01,2.820500000000000090e-02
1.135000000000000000e+03,3.738966666666664196e+01,2.823250000000000065e-02
1.140000000000000000e+03,3.741899999999998272e+01,2.826000000000000040e-02
1.145000000000000000e+03,3.745758333333333212e+01,2.831416666666666804e-02
1.150000000000000000e+03,3.749616666666668152e+01,2.836833333333333568e-02
1.155000000000000000e+03,3.753474999999997408e+01,2.842249999999999985e-02
1.160000000000000000e+03,3.757333333333332348e+01,2.847666666666666749e-02
1.165000000000000000e+03,3.761191666666667288e+01,2.853083333333333513e-02
1.170000000000000000e+03,3.765049999999996544e+01,2.858499999999999930e-02
1.175000000000000000e+03,3.768908333333331484e+01,2.863916666666666694e-02
1.180000000000000000e+03,3.772766666666666424e+01,2.869333333333333458e-02
1.185000000000000000e+03,3.776625000000001364e+01,2.874750000000000222e-02
1.190000000000000000e+03,3.780483333333336304e+01,2.880166666666666986e-02
1.195000000000000000e+03,3.784341666666665560e+01,2.885583333333333403e-02
1.200000000000000000e+03,3.788200000000000500e+01,2.891000000000000167e-02
1.205000000000000000e+03,3.790300000000002001e+01,2.893500000000000238e-02
1.210000000000000000e+03,3.792399999999997817e+01,2.895999999999999963e-02
1.215000000000000000e+03,3.794499999999999318e+01,2.898500000000000035e-02
1.220000000000000000e+03,3.796600000000000819e+01,2.901000000000000106e-02
1.225000000000000000e+03,3.798700000000002319e+01,2.903500000000000178e-02
1.230000000000000000e+03,3.800800000000003820e+01,2.906000000000000250e-02
1.235000000000000000e+03,3.802899999999999636e+01,2.908499999999999974e-02
1.240000000000000000e+03,3.805000000000001137e+01,2.911000000000000046e-02
1.245000000000000000e+03,3.807100000000002638e+01,2.913500000000000117e-02
1.250000000000000000e+03,3.809199999999998454e+01,2.915999999999999842e-02
1.255000000000000000e+03,3.811299999999999955e+01,2.918499999999999914e-02
1.260000000000000000e+03,3.813400000000001455e+01,2.920999999999999985e-02
1.265000000000000000e+03,3.818675000000001774e+01,2.924333333333333299e-02
1.270000000000000000e+03,3.823950000000002092e+01,2.927666666666666612e-02
1.275000000000000000e+03,3.829225000000002410e+01,2.930999999999999925e-02
1.280000000000000000e+03,3.834500000000002728e+01,2.934333333333333238e-02
1.285000000000000000e+03,3.839775000000003047e+01,2.937666666666666551e-02
1.290000000000000000e+03,3.845050000000003365e+01,2.940999999999999864e-02
1.295000000000000000e+03,3.850324999999997999e+01,2.944333333333333524e-02
1.300000000000000000e+03,3.855599999999998317e+01,2.947666666666666838e-02
1.305000000000000000e+03,3.860874999999998636e+01,2.951000000000000151e-02
1.310000000000000000e+03,3.866149999999998954e+01,2.954333333333333464e-02
1.315000000000000000e+03,3.871424999999999272e+01,2.957666666666666777e-02
1.320000000000000000e+03,3.876699999999999591e+01,2.961000000000000090e-02
1.325000000000000000e+03,3.879683333333332484e+01,2.966666666666666757e-02
1.330000000000000000e+03,3.882666666666665378e+01,2.972333333333333424e-02
1.335000000000000000e+03,3.885649999999998272e+01,2.978000000000000091e-02
1.340000000000000000e+03,3.888633333333331166e+01,2.983666666666666759e-02
1.345000000000000000e+03,3.891616666666664059e+01,2.989333333333333426e-02
1.350000000000000000e+03,3.894600000000002638e+01,2.995000000000000093e-02
1.355000000000000000e+03,3.897583333333335531e+01,3.000666666666666760e-02
1.360000000000000000e+03,3.900566666666668425e+01,3.006333333333333427e-02
1.365000000000000000e+03,3.903550000000001319e+01,3.012000000000000094e-02
1.370000000000000000e+03,3.906533333333334213e+01,3.017666666666666761e-02
1.375000000000000000e+03,3.909516666666667106e+01,3.023333333333333428e-02
1.380000000000000000e+03,3.912500000000000000e+01,3.029000000000000095e-02
1.385000000000000000e+03,3.915274999999996908e+01,3.030833333333333296e-02
1.390000000000000000e+03,3.918049999999999500e+01,3.032666666666666844e-02
1.395000000000000000e+03,3.920825000000002092e+01,3.034500000000000045e-02
1.400000000000000000e+03,3.923599999999999000e+01,3.036333333333333245e-02
1.405000000000000000e+03,3.926374999999995907e+01,3.038166666666666793e-02
1.410000000000000000e+03,3.929149999999998499e+01,3.039999999999999994e-02
1.415000000000000000e+03,3.931925000000001091e+01,3.041833333333333195e-02
1.420000000000000000e+03,3.934699999999997999e+01,3.043666666666666742e-02
1.425000000000000000e+03,3.937474999999994907e+01,3.045499999999999943e-02
1.430000000000000000e+03,3.940249999999997499e+01,3.047333333333333144e-02
1.435000000000000000e+03,3.943025000000000091e+01,3.049166666666666692e-02
1.440000000000000000e+03,3.945799999999996999e+01,3.050999999999999893e-02
1.445000000000000000e+03,3.946941666666663195e+01,3.054916666666666544e-02
1.450000000000000000e+03,3.948083333333329392e+01,3.058833333333333196e-02
1.455000000000000000e+03,3.949225000000001273e+01,3.062749999999999848e-02
1.460000000000000000e+03,3.950366666666667470e+01,3.066666666666666499e-02
1.465000000000000000e+03,3.951508333333333667e+01,3.070583333333333151e-02
1.470000000000000000e+03,3.952649999999999864e+01,3.074499999999999802e-02
1.475000000000000000e+03,3.953791666666666060e+01,3.078416666666666801e-02
1.480000000000000000e+03,3.954933333333332257e+01,3.082333333333333453e-02
1.485000000000000000e+03,3.956074999999998454e+01,3.086250000000000104e-02
1.490000000000000000e+03,3.957216666666670335e+01,3.090166666666666756e-02
1.495000000000000000e+03,3.958358333333336532e+01,3.094083333333333408e-02
1.500000000000000000e+03,3.959500000000002728e+01,3.098000000000000059e-02
1.505000000000000000e+03,3.963383333333337077e+01,3.101250000000000187e-02
1.510000000000000000e+03,3.967266666666671426e+01,3.104499999999999968e-02
1.515000000000000000e+03,3.971150000000000091e+01,3.107750000000000096e-02
1.520000000000000000e+03,3.975033333333334440e+01,3.111000000000000223e-02
1.525000000000000000e+03,3.978916666666668789e+01,3.114250000000000004e-02
1.530000000000000000e+03,3.982799999999997453e+01,3.117500000000000132e-02
1.535000000000000000e+03,3.986683333333331802e+01,3.120750000000000260e-02
1.540000000000000000e+03,3.990566666666666151e+01,3.124000000000000041e-02
1.545000000000000000e+03,3.994450000000000500e+01,3.127250000000000169e-02
1.550000000000000000e+03,3.998333333333334849e+01,3.130499999999999949e-02
1.555000000000000000e+03,4.002216666666663514e+01,3.133750000000000424e-02
1.560000000000000000e+03,4.006099999999997863e+01,3.137000000000000205e-02
1.565000000000000000e+03,4.007574999999997090e+01,3.140500000000000236e-02
1.570000000000000000e+03,4.009049999999996317e+01,3.144000000000000267e-02
1.575000000000000000e+03,4.010524999999995543e+01,3.147500000000000298e-02
1.580000000000000000e+03,4.012000000000000455e+01,3.151000000000000328e-02
1.585000000000000000e+03,4.013474999999999682e+01,3.154500000000000359e-02
1.590000000000000000e+03,4.014949999999998909e+01,3.157999999999999696e-02
1.595000000000000000e+03,4.016424999999998136e+01,3.161499999999999727e-02
1.600000000000000000e+03,4.017899999999997362e+01,3.164999999999999758e-02
1.605000000000000000e+03,4.019375000000002274e+01,3.168499999999999789e-02
1.610000000000000000e+03,4.020850000000001501e+01,3.171999999999999820e-02
1.615000000000000000e+03,4.022325000000000728e+01,3.175499999999999851e-02
1.620000000000000000e+03,4.023799999999999955e+01,3.178999999999999881e-02
1.625000000000000000e+03,4.026991666666668834e+01,3.182333333333333542e-02
1.630000000000000000e+03,4.030183333333332030e+01,3.185666666666666508e-02
1.635000000000000000e+03,4.033375000000000909e+01,3.189000000000000168e-02
1.640000000000000000e+03,4.036566666666664105e+01,3.192333333333333134e-02
1.645000000000000000e+03,4.039758333333332985e+01,3.195666666666666794e-02
1.650000000000000000e+03,4.042949999999996180e+01,3.199000000000000454e-02
1.655000000000000000e+03,4.046141666666665060e+01,3.202333333333333421e-02
1.660000000000000000e+03,4.049333333333333940e+01,3.205666666666667081e-02
1.665000000000000000e+03,4.052524999999997135e+01,3.209000000000000047e-02
1.670000000000000000e+03,4.055716666666666015e+01,3.212333333333333707e-02
1.675000000000000000e+03,4.058908333333329210e+01,3.215666666666666673e-02
1.680000000000000000e+03,4.062099999999998090e+01,3.219000000000000333e-02
1.685000000000000000e+03,4.066641666666663468e+01,3.222583333333333550e-02
1.690000000000000000e+03,4.071183333333328846e+01,3.226166666666666766e-02
1.695000000000000000e+03,4.075724999999999909e+01,3.229750000000000676e-02
1.700000000000000000e+03,4.080266666666665287e+01,3.233333333333333892e-02
1.705000000000000000e+03,4.084808333333330665e+01,3.236916666666667108e-02
1.710000000000000000e+03,4.089350000000001728e+01,3.240500000000000325e-02
1.715000000000000000e+03,4.093891666666667106e+01,3.244083333333333541e-02
1.720000000000000000e+03,4.098433333333332484e+01,3.247666666666666757e-02
1.725000000000000000e+03,4.102974999999997863e+01,3.251249999999999973e-02
1.730000000000000000e+03,4.107516666666668925e+01,3.254833333333333883e-02
1.735000000000000000e+03,4.112058333333334303e+01,3.258416666666667100e-02
1.740000000000000000e+03,4.116599999999999682e+01,3.262000000000000316e-02
1.745000000000000000e+03,4.119491666666664287e+01,3.265750000000000597e-02
1.750000000000000000e+03,4.122383333333334576e+01,3.269500000000000184e-02
1.755000000000000000e+03,4.125274999999999181e+01,3.273250000000000465e-02
1.760000000000000000e+03,4.128166666666663787e+01,3.277000000000000052e-02
1.765000000000000000e+03,4.131058333333334076e+01,3.280750000000000333e-02
1.770000000000000000e+03,4.133949999999998681e+01,3.284499999999999920e-02
1.775000000000000000e+03,4.136841666666663286e+01,3.288250000000000201e-02
1.780000000000000000e+03,4.139733333333333576e+01,3.292000000000000481e-02
1.785000000000000000e+03,4.142624999999998181e+01,3.295750000000000068e-02
1.790000000000000000e+03,4.145516666666662786e+01,3.299500000000000349e-02
1.795000000000000000e+03,4.148408333333333076e+01,3.303249999999999936e-02
1.800000000000000000e+03,4.151299999999997681e+01,3.307000000000000217e-02
1.805000000000000000e+03,4.154674999999997453e+01,3.310166666666666813e-02
1.810000000000000000e+03,4.158049999999997226e+01,3.313333333333333408e-02
1.815000000000000000e+03,4.161424999999996999e+01,3.316500000000000004e-02
1.820000000000000000e+03,4.164799999999996771e+01,3.319666666666666599e-02
1.825000000000000000e+03,4.168174999999996544e+01,3.322833333333333194e-02
1.830000000000000000e+03,4.171550000000002001e+01,3.325999999999999790e-02
1.835000000000000000e+03,4.174925000000001774e+01,3.329166666666667079e-02
1.840000000000000000e+03,4.178300000000001546e+01,3.332333333333333675e-02
1.845000000000000000e+03,4.181675000000001319e+01,3.335500000000000270e-02
1.850000000000000000e+03,4.185050000000001091e+01,3.338666666666666866e-02
1.855000000000000000e+03,4.188425000000000864e+01,3.341833333333333461e-02
1.860000000000000000e+03,4.191800000000000637e+01,3.345000000000000057e-02
1.865000000000000000e+03,4.192083333333334849e+01,3.349833333333333135e-02
1.870000000000000000e+03,4.192366666666669062e+01,3.354666666666666908e-02
1.875000000000000000e+03,4.192650000000003274e+01,3.359499999999999986e-02
1.880000000000000000e+03,4.192933333333331802e+01,3.364333333333333065e-02
1.885000000000000000e+03,4.193216666666666015e+01,3.369166666666666837e-02
1.890000000000000000e+03,4.193500000000000227e+01,3.373999999999999916e-02
1.895000000000000000e+03,4.193783333333334440e+01,3.378833333333332994e-02
1.900000000000000000e+03,4.194066666666668652e+01,3.383666666666666767e-02
1.905000000000000000e+03,4.194349999999997181e+01,3.388499999999999845e-02
1.910000000000000000e+03,4.194633333333331393e+01,3.393333333333332924e-02
1.915000000000000000e+03,4.194916666666665606e+01,3.398166666666666696e-02
1.920000000000000000e+03,4.195199999999999818e+01,3.402999999999999775e-02
1.925000000000000000e+03,4.197791666666665833e+01,3.406666666666666177e-02
1.930000000000000000e+03,4.200383333333331848e+01,3.410333333333333272e-02
1.935000000000000000e+03,4.202974999999997863e+01,3.413999999999999674e-02
