t_s,T_center_eta0_C,T_surface_eta0_C,T_center_eta1_C,T_surface_eta1_C,Cmax_eta0,Cmax_eta1
66675.192,49.99893,49.99893,46.96803,47.02001,0.393217,0.488641
67441.573,49.99893,49.99893,47.06922,47.11917,0.387228,0.479128
68207.955,49.99893,49.99893,47.16658,47.21455,0.381434,0.469947
68974.336,49.99893,49.99893,47.26021,47.30629,0.375828,0.461085
69740.718,49.99893,49.99893,47.35026,47.39451,0.370402,0.452530
70507.099,49.99893,49.99893,47.43683,47.47932,0.365148,0.444269
71273.481,49.99893,49.99893,47.52007,47.56086,0.360058,0.436291
72039.862,49.99893,49.99893,47.60023,47.63992,0.355126,0.428586
72806.244,49.99893,49.99893,47.67857,47.71716,0.350346,0.421145
73572.625,49.99893,49.99893,47.75439,47.79120,0.345710,0.413959
74339.007,49.99893,49.99893,47.82624,47.86107,0.341214,0.407012
75105.388,49.99893,49.99893,47.89464,47.92816,0.336851,0.400295
75871.770,49.99893,49.99893,47.96115,47.99387,0.332616,0.393802
76638.151,49.99893,49.99893,48.02575,48.05720,0.328504,0.387525
77404.533,49.99893,49.99893,48.08722,48.11683,0.324511,0.381452
78170.914,49.99893,49.99893,48.14550,48.17379,0.320631,0.375573
78937.296,49.99893,49.99893,48.20189,48.22964,0.316860,0.369884
79703.677,49.99893,49.99893,48.25690,48.28374,0.313194,0.364377
80470.059,49.99893,49.99893,48.30957,48.33483,0.309632,0.359045
81236.440,49.99893,49.99893,48.35937,48.38342,0.306169,0.353878
82002.822,49.99893,49.99893,48.40727,48.43082,0.302800,0.348871
82769.203,49.99893,49.99893,48.45417,48.47703,0.299520,0.344019
83535.585,49.99893,49.99893,48.49956,48.52160,0.296328,0.339317
84301.966,49.99893,49.99893,48.54329,48.56450,0.293221,0.334759
85068.348,49.99893,49.99893,48.58536,48.60576,0.290196,0.330339
85834.729,49.99893,49.99893,48.62584,48.64545,0.287248,0.326051
86601.111,49.99893,49.99893,48.66472,48.68334,0.284374,0.321890
87367.492,49.99893,49.99893,48.70140,48.71899,0.281574,0.317849
88133.874,49.99893,49.99893,48.73631,48.75331,0.278844,0.313923
88900.255,49.99893,49.99893,48.77047,48.78716,0.276182,0.310110
89666.637,49.99893,49.99893,48.80381,48.81998,0.273584,0.306406
90433.019,49.99893,49.99893,48.83605,48.85166,0.271049,0.302807
91199.400,49.99893,49.99893,48.86715,48.88219,0.268575,0.299309
91965.782,49.99893,49.99893,48.89712,48.91162,0.266161,0.295908
92732.163,49.99893,49.99893,48.92601,48.93998,0.263805,0.292601
93498.545,49.99893,49.99893,48.95387,48.96734,0.261503,0.289384
94264.926,49.99893,49.99893,48.98073,48.99372,0.259256,0.286254
95031.308,49.99893,49.99893,49.00644,49.01865,0.257061,0.283206
95797.689,49.99893,49.99893,49.03067,49.04229,0.254915,0.280237
96564.071,49.99893,49.99893,49.05400,49.06545,0.252817,0.277344
97330.452,49.99893,49.99893,49.07706,49.08827,0.250764,0.274526
98096.834,49.99893,49.99893,49.09954,49.11042,0.248757,0.271781
98863.215,49.99893,49.99893,49.12131,49.13183,0.246793,0.269105
99629.597,49.99893,49.99893,49.14236,49.15253,0.244873,0.266497
100395.978,49.99893,49.99893,49.16271,49.17253,0.242993,0.263954
101162.360,49.99893,49.99893,49.18238,49.19188,0.241154,0.261474
101928.741,49.99893,49.99893,49.20140,49.21058,0.239354,0.259054
102695.123,49.99893,49.99893,49.21979,49.22867,0.237591,0.256693
103461.504,49.99893,49.99893,49.23758,49.24617,0.235865,0.254389
104227.886,49.99893,49.99893,49.25480,49.26311,0.234175,0.252139
104994.267,49.99893,49.99893,49.27146,49.27951,0.232518,0.249942
105760.649,49.99893,49.99893,49.28759,49.29538,0.230894,0.247797
106527.030,49.99893,49.99893,49.30321,49.31075,0.229301,0.245700
107293.412,49.99893,49.99893,49.31834,49.32565,0.227740,0.243652
108059.793,49.99893,49.99893,49.33300,49.34008,0.226209,0.241650
108826.175,49.99893,49.99893,49.34720,49.35407,0.224708,0.239693
109592.556,49.99893,49.99893,49.36097,49.36763,0.223235,0.237780
110358.938,49.99893,49.99893,49.37433,49.38077,0.221791,0.235908
111125.319,49.99893,49.99893,49.38727,49.39353,0.220374,0.234077
111891.701,49.99893,49.99893,49.39983,49.40590,0.218984,0.232286
112658.082,49.99893,49.99893,49.41199,49.41776,0.217620,0.230532
113424.464,49.99893,49.99893,49.42344,49.42890,0.216280,0.228815
114190.845,49.99893,49.99893,49.43439,49.43973,0.214965,0.227133
114957.227,49.99893,49.99893,49.44528,49.45062,0.213674,0.225485
115723.608,49.99893,49.99893,49.45607,49.46129,0.212406,0.223871
116489.990,49.99893,49.99893,49.46660,49.47169,0.211161,0.222290
117256.371,49.99893,49.99893,49.47685,49.48180,0.209937,0.220742
118022.753,49.99893,49.99893,49.48682,49.49163,0.208735,0.219224
118789.134,49.99893,49.99893,49.49651,49.50118,0.207553,0.217736
119555.516,49.99893,49.99893,49.50593,49.51047,0.206392,0.216278
120321.898,49.99893,49.99893,49.51509,49.51951,0.205251,0.214848
121088.279,49.99893,49.99893,49.52400,49.52830,0.204128,0.213446
121854.661,49.99893,49.99893,49.53267,49.53686,0.203025,0.212070
122621.042,49.99893,49.99893,49.54111,49.54518,0.201940,0.210721
123387.424,49.99893,49.99893,49.54932,49.55328,0.200873,0.209397
124153.805,49.99893,49.99893,49.55731,49.56117,0.199823,0.208098
124920.187,49.99893,49.99893,49.56510,49.56885,0.198790,0.206822
125686.568,49.99893,49.99893,49.57268,49.57634,0.197772,0.205570
126452.950,49.99893,49.99893,49.58006,49.58363,0.196771,0.204341
127219.331,49.99893,49.99893,49.58725,49.59073,0.195785,0.203134
127985.713,49.99893,49.99893,49.59426,49.59765,0.194815,0.201949
128752.094,49.99893,49.99893,49.60110,49.60440,0.193859,0.200784
129518.476,49.99893,49.99893,49.60776,49.61098,0.192919,0.199640
130284.857,49.99893,49.99893,49.61425,49.61739,0.191993,0.198516
131051.239,49.99893,49.99893,49.62059,49.62365,0.191081,0.197412
131817.620,49.99893,49.99893,49.62676,49.62975,0.190182,0.196326
132584.002,49.99893,49.99893,49.63279,49.63570,0.189297,0.195258
133350.383,49.99893,49.99893,49.63867,49.64151,0.188426,0.194209
134116.765,49.99893,49.99893,49.64441,49.64719,0.187567,0.193177
134883.146,49.99893,49.99893,49.65001,49.65272,0.186721,0.192162
135649.528,49.99893,49.99893,49.65548,49.65813,0.185887,0.191164
136415.909,49.99893,49.99893,49.66082,49.66341,0.185065,0.190182
137182.291,49.99893,49.99893,49.66604,49.66856,0.184254,0.189216
137948.672,49.99893,49.99893,49.67114,49.67360,0.183456,0.188266
138715.054,49.99893,49.99893,49.67611,49.67852,0.182668,0.187330
139481.435,49.99893,49.99893,49.68098,49.68333,0.181892,0.186409
140247.817,49.99893,49.99893,49.68573,49.68803,0.181126,0.185503
141014.198,49.99893,49.99893,49.69037,49.69262,0.180371,0.184611
141780.580,49.99893,49.99893,49.69492,49.69711,0.179626,0.183732
142546.961,49.99893,49.99893,49.69936,49.70150,0.178892,0.182867
143313.343,49.99893,49.99893,49.70370,49.70580,0.178167,0.182015
144079.724,49.99893,49.99893,49.70794,49.71000,0.177452,0.181176
144846.106,49.99893,49.99893,49.71210,49.71411,0.176746,0.180350
145612.487,49.99893,49.99893,49.71616,49.71813,0.176050,0.179535
146378.869,49.99893,49.99893,49.72014,49.72206,0.175363,0.178733
147145.250,49.99893,49.99893,49.72403,49.72591,0.174685,0.177942
147911.632,49.99893,49.99893,49.72784,49.72968,0.174016,0.177163
148678.013,49.99893,49.99893,49.73157,49.73337,0.173355,0.176395
149444.395,49.99893,49.99893,49.73522,49.73699,0.172702,0.175638
150210.777,49.99893,49.99893,49.73879,49.74052,0.172058,0.174892
150977.158,49.99893,49.99893,49.74229,49.74399,0.171422,0.174156
151743.540,49.99893,49.99893,49.74572,49.74738,0.170794,0.173431
152509.921,49.99893,49.99893,49.74908,49.75071,0.170174,0.172715
153276.303,49.99893,49.99893,49.75237,49.75396,0.169562,0.172010
154042.684,49.99893,49.99893,49.75560,49.75716,0.168957,0.171314
154809.066,49.99893,49.99893,49.75876,49.76029,0.168359,0.170627
155575.447,49.99893,49.99893,49.76185,49.76335,0.167768,0.169950
156341.829,49.99893,49.99893,49.76489,49.76636,0.167185,0.169281
157108.210,49.99893,49.99893,49.76786,49.76931,0.166609,0.168622
157874.592,49.99893,49.99893,49.77078,49.77220,0.166039,0.167971
158640.973,49.99893,49.99893,49.77364,49.77503,0.165476,0.167329
159407.355,49.99893,49.99893,49.77645,49.77781,0.164920,0.166695
160173.736,49.99893,49.99893,49.77920,49.78054,0.164370,0.166070
160940.118,49.99893,49.99893,49.78190,49.78321,0.163827,0.165452
161706.499,49.99893,49.99893,49.78455,49.78584,0.163290,0.164842
162472.881,49.99893,49.99893,49.78715,49.78841,0.162758,0.164240
163239.262,49.99893,49.99893,49.78970,49.79094,0.162233,0.163646
164005.644,49.99893,49.99893,49.79221,49.79342,0.161714,0.163059
164772.025,49.99893,49.99893,49.79466,49.79585,0.161201,0.162479
165538.407,49.99893,49.99893,49.79708,49.79825,0.160693,0.161907
166304.788,49.99893,49.99893,49.79944,49.80059,0.160191,0.161341
167071.170,49.99893,49.99893,49.80177,49.80290,0.159695,0.160782
167837.551,49.99893,49.99893,49.80405,49.80516,0.159204,0.160230
168603.933,49.99893,49.99893,49.80630,49.80738,0.158718,0.159685
169370.314,49.99893,49.99893,49.80850,49.80957,0.158238,0.159146
170136.696,49.99893,49.99893,49.81066,49.81171,0.157762,0.158614
170903.077,49.99893,49.99893,49.81279,49.81382,0.157292,0.158087
171669.459,49.99893,49.99893,49.81488,49.81589,0.156827,0.157567
172435.840,49.99893,49.99893,49.81693,49.81792,0.156367,0.157053
173202.222,49.99893,49.99893,49.81894,49.81992,0.155911,0.156545
173968.603,49.99893,49.99893,49.82093,49.82189,0.155460,0.156043
174734.985,49.99893,49.99893,49.82287,49.82382,0.155014,0.155546
175501.366,49.99893,49.99893,49.82479,49.82572,0.154573,0.155055
176267.748,49.99893,49.99893,49.82667,49.82759,0.154136,0.154570
177034.129,49.99893,49.99893,49.82852,49.82942,0.153703,0.154090
177800.511,49.99893,49.99893,49.83034,49.83123,0.153275,0.153615
178566.893,49.99893,49.99893,49.83213,49.83300,0.152851,0.153146
179333.274,49.99893,49.99893,49.83389,49.83475,0.152432,0.152682
180099.656,49.99893,49.99893,49.83562,49.83646,0.152016,0.152223
180866.037,49.99893,49.99893,49.83733,49.83815,0.151605,0.151769
181632.419,49.99893,49.99893,49.83900,49.83982,0.151198,0.151319
182398.800,49.99893,49.99893,49.84065,49.84145,0.150795,0.150875
183165.182,49.99893,49.99893,49.84227,49.84306,0.150395,0.150435
183931.563,49.99893,49.99893,49.84387,49.84464,0.150000,0.150000
